"mapGridName","numBoundaryPoints","latitude","longitude"
"NTS 1:125 000","20","48.0","-112.0"
"NTS 1:125 000","20","48.0","-113.0"
"NTS 1:125 000","20","48.5","-112.0"
"NTS 1:125 000","20","48.5","-113.0"
"NTS 1:125 000","20","48.0","-116.0"
"NTS 1:125 000","20","48.0","-117.0"
"NTS 1:125 000","20","48.5","-116.0"
"NTS 1:125 000","20","48.5","-117.0"
"NTS 1:125 000","20","48.0","-120.0"
"NTS 1:125 000","20","48.0","-121.0"
"NTS 1:125 000","20","48.5","-120.0"
"NTS 1:125 000","20","48.5","-121.0"
"NTS 1:125 000","20","48.0","-124.0"
"NTS 1:125 000","20","48.0","-125.0"
"NTS 1:125 000","20","48.5","-124.0"
"NTS 1:125 000","20","48.5","-125.0"
"NTS 1:125 000","20","50.0","-124.0"
"NTS 1:125 000","20","50.0","-125.0"
"NTS 1:125 000","20","50.5","-124.0"
"NTS 1:125 000","20","50.5","-125.0"
"NTS 1:125 000","20","50.0","-120.0"
"NTS 1:125 000","20","50.0","-121.0"
"NTS 1:125 000","20","50.5","-120.0"
"NTS 1:125 000","20","50.5","-121.0"
"NTS 1:125 000","20","50.0","-116.0"
"NTS 1:125 000","20","50.0","-117.0"
"NTS 1:125 000","20","50.5","-116.0"
"NTS 1:125 000","20","50.5","-117.0"
"NTS 1:125 000","20","50.0","-112.0"
"NTS 1:125 000","20","50.0","-113.0"
"NTS 1:125 000","20","50.5","-112.0"
"NTS 1:125 000","20","50.5","-113.0"
"NTS 1:125 000","20","52.0","-112.0"
"NTS 1:125 000","20","52.0","-113.0"
"NTS 1:125 000","20","52.5","-112.0"
"NTS 1:125 000","20","52.5","-113.0"
"NTS 1:125 000","20","52.0","-116.0"
"NTS 1:125 000","20","52.0","-117.0"
"NTS 1:125 000","20","52.5","-116.0"
"NTS 1:125 000","20","52.5","-117.0"
"NTS 1:125 000","20","52.0","-120.0"
"NTS 1:125 000","20","52.0","-121.0"
"NTS 1:125 000","20","52.5","-120.0"
"NTS 1:125 000","20","52.5","-121.0"
"NTS 1:125 000","20","52.0","-124.0"
"NTS 1:125 000","20","52.0","-125.0"
"NTS 1:125 000","20","52.5","-124.0"
"NTS 1:125 000","20","52.5","-125.0"
"NTS 1:125 000","20","54.0","-124.0"
